#baseline_distilbert
152	Q0	33541817	0	103.47300720214844	baseline_distilbert
152	Q0	62676740	1	99.17935180664062	baseline_distilbert
152	Q0	43214759	2	98.35820007324219	baseline_distilbert
152	Q0	63004600	3	97.93190002441406	baseline_distilbert
152	Q0	1016655	4	96.43734741210938	baseline_distilbert
152	Q0	39062334	5	95.89693450927734	baseline_distilbert
152	Q0	26400881	6	95.29975891113281	baseline_distilbert
152	Q0	44995845	7	95.09876251220703	baseline_distilbert
152	Q0	6545126	8	95.08998107910156	baseline_distilbert
152	Q0	22644794	9	94.8724365234375	baseline_distilbert
152	Q0	64114470	10	94.67024230957031	baseline_distilbert
#distilbert_1
152	Q0	50914470	0	115.29959869384766	distilbert_1
152	Q0	63914398	1	113.54830169677734	distilbert_1
152	Q0	43667097	2	111.81437683105469	distilbert_1
152	Q0	17284460	3	111.47417449951172	distilbert_1
152	Q0	62676740	4	110.62664794921875	distilbert_1
152	Q0	63645279	5	110.53373718261719	distilbert_1
152	Q0	62801202	6	110.38992309570312	distilbert_1
152	Q0	34603655	7	109.82410430908203	distilbert_1
152	Q0	1940119	8	109.6572494506836	distilbert_1
152	Q0	48427372	9	107.73757934570312	distilbert_1
152	Q0	4001378	10	107.38728332519531	distilbert_1
